from,to,distance
37,399,72.3
273,359,55.6
108,80,86.3
130,343,54.0
135,427,38.1
352,351,42.2
277,92,15.1
279,142,63.5
297,340,57.3
319,234,26.5
284,82,75.2
266,194,53.0
59,390,62.7
256,119,96.3
315,261,39.0
282,75,26.7
138,52,34.1
45,197,80.1
85,108,38.4
97,447,64.2
377,183,88.2
213,169,47.8
416,400,37.7
389,147,8.1
10,58,84.6
487,269,80.8
310,435,59.7
424,25,68.5
363,333,26.3
82,204,38.6
336,453,17.6
384,398,65.8
328,350,94.7
464,197,24.5
281,42,54.3
229,206,6.9
461,273,85.8
408,208,89.7
153,298,18.9
103,12,33.4
113,406,74.3
468,386,25.2
95,37,36.0
131,471,92.2
461,138,40.5
229,386,37.1
470,349,66.8
14,241,14.0
56,423,37.6
434,115,89.4
289,402,50.2
375,128,88.8
180,155,60.4
450,174,41.1
260,456,84.8
50,381,60.9
463,477,31.1
498,68,48.7
126,159,64.8
389,233,69.5
35,354,59.4
451,139,30.9
57,27,7.7
43,44,29.4
490,281,22.2
343,238,96.4
467,384,15.2
274,257,55.9
370,311,48.1
203,473,14.2
61,428,55.4
376,79,44.3
435,215,82.9
467,287,28.6
218,76,70.5
13,415,67.1
118,340,94.9
370,210,81.5
284,70,24.8
13,217,13.1
277,376,62.1
203,267,11.4
99,38,98.6
53,393,75.6
407,372,15.2
315,410,75.4
313,5,40.6
321,168,40.5
330,387,71.1
375,86,66.8
298,452,62.6
8,59,64.0
43,148,34.2
55,23,74.6
246,341,34.6
147,46,94.9
176,432,87.6
325,81,98.3
130,94,57.2
184,212,85.0
110,380,9.5
122,258,74.1
215,351,75.8
400,4,86.9
156,132,34.9
83,181,6.3
277,369,92.5
47,490,17.8
76,276,25.4
158,397,51.3
301,388,35.9
120,427,51.9
304,171,12.7
165,230,20.3
165,61,6.1
167,125,72.4
373,67,87.5
81,115,31.3
146,376,73.7
39,44,30.6
423,21,48.4
243,380,19.0
320,368,48.4
173,138,67.4
476,474,95.4
374,376,32.7
265,392,21.0
12,476,16.6
380,308,6.1
220,180,87.5
54,74,95.7
499,461,47.6
211,266,55.8
168,137,19.5
25,471,30.9
315,396,55.4
459,450,58.5
328,212,67.8
236,331,11.9
192,433,98.2
453,486,8.2
495,464,73.8
346,61,43.8
15,466,76.8
195,187,9.0
477,257,86.6
279,240,21.2
106,160,62.4
316,38,73.5
239,261,33.5
299,373,65.6
62,422,57.4
353,62,83.4
474,95,12.6
443,173,48.2
468,64,57.3
196,284,88.0
275,400,37.6
144,279,59.5
434,151,42.7
80,271,46.5
253,150,74.8
357,95,48.6
217,327,74.9
37,313,11.1
404,402,55.2
400,13,79.9
217,45,39.0
386,124,59.1
484,491,12.1
465,297,9.7
392,90,94.9
460,354,66.3
327,51,78.0
238,51,34.6
54,52,100.0
111,354,12.9
365,482,7.7
426,124,41.7
268,432,26.6
481,449,57.1
295,298,82.0
247,377,48.6
189,268,28.8
203,332,44.0
109,173,8.9
183,83,45.2
428,90,88.5
47,292,89.0
384,2,44.7
244,438,94.2
432,315,73.7
470,130,73.5
285,476,41.7
171,237,26.2
472,107,83.4
360,94,86.6
285,57,16.7
281,86,99.7
478,457,27.5
97,354,63.7
223,336,54.0
32,434,21.0
23,57,29.6
6,147,41.9
148,437,19.1
469,27,60.2
56,467,14.8
414,173,43.6
270,25,93.0
401,20,49.2
481,277,83.2
351,324,87.1
365,249,45.4
275,419,86.6
298,500,80.3
112,210,7.7
216,389,18.5
267,65,71.5
426,402,25.4
266,435,58.0
137,499,75.1
41,5,14.4
225,491,64.3
62,280,43.9
17,368,21.4
8,34,62.4
111,434,15.2
422,489,80.6
290,244,23.2
397,53,89.6
130,245,42.5
166,299,56.5
22,295,17.2
255,397,6.6
306,404,28.7
394,331,9.6
370,299,17.2
160,489,95.7
47,374,45.5
365,313,38.0
375,94,99.8
109,85,38.8
429,8,41.2
479,130,63.4
137,44,78.5
114,299,23.5
140,345,61.5
78,326,6.6
397,135,10.3
110,192,79.9
139,444,18.3
296,26,99.5
187,105,86.2
406,314,89.9
156,317,20.8
198,486,56.4
401,357,43.3
491,390,65.7
260,292,67.7
324,382,86.5
289,101,68.9
86,371,68.7
410,342,74.3
448,357,58.9
429,500,37.2
5,134,33.2
285,230,28.4
436,300,96.3
168,153,79.8
107,94,47.5
317,223,75.1
292,185,6.4
247,136,69.7
242,153,91.3
225,494,63.2
298,145,71.2
251,495,33.2
53,226,27.1
132,29,83.2
423,98,37.9
79,173,62.8
33,495,48.6
440,259,34.4
228,473,57.5
383,322,41.4
54,470,26.0
264,225,40.5
218,137,50.3
199,476,94.4
340,454,85.5
194,241,51.1
321,253,78.1
220,285,47.6
199,193,87.3
386,119,77.8
62,305,61.5
383,2,24.6
103,82,34.7
199,172,30.8
338,129,65.8
208,483,34.1
466,331,12.4
383,341,57.4
208,3,90.8
248,480,23.2
481,18,18.1
390,480,13.2
430,309,62.2
318,454,45.8
455,12,54.1
371,294,96.9
391,30,43.9
16,380,69.0
392,276,18.4
283,332,14.2
277,61,13.8
55,44,50.9
313,387,66.9
84,29,11.4
373,309,51.9
33,216,84.8
225,121,88.6
183,334,68.6
32,420,34.4
315,464,79.2
5,82,96.0
349,73,61.8
231,280,46.6
338,332,42.4
282,496,17.0
280,326,91.6
355,4,85.8
20,477,21.9
53,17,20.1
87,205,6.1
438,361,9.2
62,220,68.0
474,379,9.2
430,33,59.6
113,412,90.7
115,306,41.4
144,410,95.9
393,384,73.7
484,257,14.4
343,140,39.5
57,35,100.0
369,320,91.4
138,372,8.9
292,468,72.7
179,471,21.7
434,481,46.5
78,453,32.6
408,295,53.1
179,414,58.7
500,101,25.7
306,22,37.3
495,156,98.9
258,411,9.4
22,164,40.3
267,129,74.8
346,188,56.5
274,253,10.3
188,462,47.7
140,90,87.1
387,168,41.8
35,494,66.9
488,440,76.0
256,76,10.6
401,125,47.9
460,254,12.0
97,19,6.6
28,317,63.8
279,162,10.5
170,196,85.2
338,350,83.5
310,199,77.8
37,193,36.7
394,495,69.6
292,149,62.5
426,2,85.6
344,63,76.9
226,218,90.0
152,253,95.7
315,184,20.8
321,318,7.6
312,479,49.4
96,426,17.2
93,85,46.4
476,167,75.3
304,283,95.7
245,108,76.6
466,215,57.0
307,28,28.7
314,180,42.6
112,268,8.0
171,233,14.1
429,327,77.1
27,354,60.7
203,58,25.6
206,445,84.4
221,311,24.8
217,318,62.2
3,390,98.8
498,365,24.8
464,94,75.5
94,306,49.6
290,35,91.8
111,495,44.9
290,237,72.9
334,257,67.4
409,18,75.0
180,290,51.5
331,367,74.4
7,296,25.0
325,188,70.2
55,458,34.1
372,457,56.0
76,43,24.6
267,340,60.6
41,35,15.0
304,115,54.8
208,424,36.2
490,224,50.8
363,6,47.1
193,454,42.8
114,194,65.8
208,183,7.6
90,479,48.1
365,298,32.3
318,60,87.8
255,96,72.0
331,23,88.0
272,66,70.3
362,253,22.0
294,117,16.2
220,2,81.4
475,245,79.9
56,35,91.8
390,126,92.3
195,325,95.4
192,334,30.1
436,151,98.8
198,92,86.1
276,260,42.7
227,47,10.0
36,383,67.4
245,26,39.0
51,343,53.9
57,428,15.6
106,453,81.4
87,389,92.6
321,182,76.4
83,51,37.5
65,161,80.6
115,274,14.5
402,475,83.5
500,194,5.1
284,438,12.5
374,372,87.7
354,487,71.1
234,250,40.1
92,193,17.4
16,417,93.9
221,409,30.0
467,125,22.7
286,362,26.1
358,143,11.7
471,78,54.3
195,201,68.8
338,254,98.0
200,397,92.3
151,178,94.5
245,302,7.5
27,268,42.3
43,332,25.7
96,163,89.0
426,101,42.8
444,59,94.2
362,228,76.6
377,487,32.8
181,18,83.1
277,345,22.1
3,348,44.8
226,293,11.2
107,187,34.6
29,430,54.7
491,357,31.3
246,211,12.0
347,327,86.5
479,137,29.5
466,133,17.0
87,253,74.8
244,2,66.0
480,388,39.3
67,40,84.2
416,360,8.0
79,93,20.3
495,310,66.4
26,224,83.9
437,86,21.7
195,442,76.5
344,377,50.0
300,254,86.9
158,250,43.0
320,136,34.0
54,403,20.4
112,265,49.9
337,290,53.1
77,376,61.3
244,80,36.4
438,467,33.0
344,442,51.4
214,344,22.8
9,372,8.9
9,232,87.1
497,259,8.7
150,31,95.1
165,204,68.2
258,432,51.9
371,367,96.0
360,430,20.2
261,214,80.2
411,497,77.6
387,321,50.7
396,200,24.3
53,126,22.1
432,418,42.0
240,364,18.5
46,426,48.3
250,99,14.4
146,70,10.9
402,177,95.0
369,21,22.2
155,51,73.3
341,461,33.6
248,276,58.2
372,321,7.7
365,447,46.1
494,428,24.3
43,101,8.1
94,180,47.9
332,185,59.3
145,179,6.8
268,113,91.5
77,227,25.5
275,459,93.7
280,43,85.8
278,303,13.1
167,263,55.4
18,22,81.3
326,369,41.6
200,341,53.3
460,163,86.2
435,241,46.9
191,390,57.9
190,420,49.5
477,239,44.3
8,371,70.3
272,498,62.3
417,473,88.9
375,68,69.2
154,421,28.3
240,134,23.7
294,343,94.7
83,423,11.7
212,238,90.8
62,184,62.4
110,341,5.8
421,466,70.3
215,340,19.7
347,38,37.1
101,294,54.8
208,120,6.0
243,399,28.9
213,400,63.2
57,365,11.1
201,83,98.2
107,190,34.6
319,464,24.3
126,57,26.0
