id,lat,lon,earliest,latest
1,38.916,-77.0308,67,114
2,38.9198,-77.036,25,62
3,38.9024,-77.0318,26,38
4,38.9177,-77.0426,21,40
5,38.9109,-77.0348,74,113
6,38.9121,-77.0364,31,63
7,38.9005,-77.0294,14,47
8,38.9169,-77.0436,11,29
9,38.9159,-77.0261,0,10
10,38.9121,-77.028,82,120
11,38.9139,-77.033,85,102
12,38.9063,-77.0273,3,35
13,38.9061,-77.0311,62,75
14,38.9053,-77.0393,70,111
15,38.9056,-77.0393,94,132
16,38.9197,-77.0257,78,97
17,38.9166,-77.0291,5,48
18,38.9176,-77.0432,37,74
19,38.9007,-77.0316,3,15
20,38.9182,-77.0409,10,32
21,38.9076,-77.0371,57,96
22,38.9028,-77.0337,42,52
23,38.9062,-77.0333,52,88
24,38.9166,-77.0299,45,86
25,38.9104,-77.0339,94,117
26,38.9108,-77.0349,25,54
27,38.9112,-77.0277,90,132
28,38.9152,-77.027,32,81
29,38.9066,-77.0324,21,44
30,38.9015,-77.0349,43,83
31,38.9152,-77.0321,35,53
32,38.9042,-77.0278,92,114
33,38.902,-77.0404,84,95
34,38.9048,-77.0431,38,85
35,38.9043,-77.0384,77,92
36,38.9085,-77.0318,42,85
37,38.9174,-77.0279,73,105
38,38.9026,-77.0352,25,66
39,38.9051,-77.0356,1,33
40,38.9023,-77.0381,35,53
41,38.9023,-77.0278,82,126
42,38.903,-77.0339,61,98
43,38.9161,-77.0322,87,107
44,38.9193,-77.0392,75,96
45,38.9015,-77.0341,88,117
46,38.9088,-77.0377,39,87
47,38.9025,-77.0423,45,60
48,38.9132,-77.0271,70,119
49,38.9075,-77.0337,15,61
50,38.9122,-77.0317,90,140
51,38.9078,-77.0307,28,59
52,38.9198,-77.0371,5,27
53,38.9024,-77.0296,7,17
54,38.9027,-77.0331,37,51
55,38.919,-77.0319,75,93
56,38.9137,-77.027,33,78
57,38.9087,-77.0412,18,46
58,38.9083,-77.0289,57,80
59,38.9061,-77.0429,85,108
60,38.9053,-77.0329,79,119
61,38.9112,-77.0329,80,124
62,38.9087,-77.041,13,61
63,38.9078,-77.0435,11,23
64,38.9153,-77.0291,52,83
65,38.908,-77.0266,26,39
66,38.9116,-77.0443,74,102
67,38.9054,-77.0417,84,131
68,38.9077,-77.0282,63,97
69,38.917,-77.0443,99,148
70,38.9119,-77.0438,43,56
71,38.9091,-77.0446,84,95
72,38.9087,-77.0363,13,23
73,38.9151,-77.0267,12,36
74,38.9033,-77.0371,96,136
75,38.9136,-77.0274,68,83
76,38.9167,-77.0422,78,98
77,38.9164,-77.026,45,71
78,38.9052,-77.0346,13,24
79,38.906,-77.0357,52,93
80,38.9109,-77.0414,93,127
81,38.9079,-77.0257,4,36
82,38.9021,-77.0349,28,70
83,38.9156,-77.0393,74,91
84,38.9173,-77.0342,96,118
85,38.9066,-77.0425,84,104
86,38.9173,-77.0435,71,104
87,38.9141,-77.0277,22,61
88,38.916,-77.0434,33,82
89,38.9163,-77.0328,91,111
90,38.9053,-77.0438,44,83
91,38.9006,-77.0417,97,124
92,38.9182,-77.0424,58,94
93,38.9097,-77.0251,26,52
94,38.9099,-77.0261,6,26
95,38.9078,-77.0359,73,84
